"Datoru, interneta un mājaslapas lietošana uzņēmumos (% no uzņēmumu kopskaita attiecīgajā grupā) – Griezumi, Rādītāji un Laika periods"

"Griezumi";"Rādītāji";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Pavisam";"Dators";93.5;95.1;95.4;95.4;97.4;98.1;98.2;98.7;98.8;99.8;99.2;-;-;-
"Pavisam";"Internets";86.8;90.6;92.2;90.7;94.2;96.0;96.8;96.9;98.7;99.6;99.0;99.9;100.0;99.9
"Pavisam";"Mājaslapa";42.1;48.4;53.4;53.0;55.7;55.9;59.0;63.5;62.9;63.0;64.8;62.6;67.8;-
"10–49 darbinieki";"Dators";92.3;94.3;94.6;94.4;97.1;97.8;97.8;98.6;98.6;99.8;99.1;-;-;-
"10–49 darbinieki";"Internets";84.4;89.0;90.8;88.8;93.3;95.3;96.1;96.5;98.4;99.6;98.9;99.9;100.0;99.9
"10–49 darbinieki";"Mājaslapa";37.5;43.7;48.3;48.0;51.6;50.8;53.3;58.8;58.3;58.5;59.7;58.4;63.5;-
"50–249 darbinieki";"Dators";99.2;99.1;99.5;99.7;98.9;99.6;100.0;99.2;99.8;100.0;99.8;-;-;-
"50–249 darbinieki";"Internets";98.0;98.3;99.1;99.5;98.7;99.3;100.0;98.5;99.8;99.5;99.7;100.0;100.0;100.0
"50–249 darbinieki";"Mājaslapa";62.3;69.2;76.3;74.7;74.5;78.4;83.8;84.2;82.5;82.8;86.4;81.0;87.3;-
"250 un vairāk darbinieki";"Dators";100.0;99.5;98.3;99.5;98.9;100.0;100.0;100.0;100.0;99.5;99.1;-;-;-
"250 un vairāk darbinieki";"Internets";99.6;99.0;97.8;99.0;98.9;99.5;100.0;100.0;100.0;99.5;99.1;100.0;100.0;100.0
"250 un vairāk darbinieki";"Mājaslapa";84.4;88.0;91.7;93.9;92.1;94.8;94.6;96.3;96.2;95.0;95.0;94.1;95.5;-
