"Pasažieru pārvadājumi (milj. cilvēku) – Laika periods un Transporta veids"

"Laika periods";"Dzelzceļš";"Gaisa transports";"Regulārās satiksmes autobusi";"Tramvaji";"Trolejbusi"
"1990";144.5;2.2;573.3;243.1;219.7
"1991";90.7;1.9;570.8;251.6;224.2
"1992";83.1;0.4;287.5;193.7;188.0
"1993";59.6;0.2;186.0;114.9;112.4
"1994";55.6;0.2;188.1;112.8;110.7
"1995";42.3;0.2;184.5;101.2;98.7
"1996";34.1;0.2;148.7;79.5;75.9
"1997";33.0;0.3;151.4;88.4;83.8
"1998";30.1;0.3;164.2;98.0;96.1
"1999";24.9;0.2;167.4;93.8;92.2
"2000";18.2;0.3;165.9;88.9;86.5
"2001";20.1;0.3;169.4;86.9;84.8
"2002";22.0;0.3;173.5;88.2;82.6
"2003";23.0;0.4;179.6;84.6;82.3
"2004";23.9;0.7;195.8;87.9;89.0
"2005";25.9;1.2;221.2;90.9;91.4
"2006";27.4;1.6;209.4;93.1;91.9
"2007";27.4;2.2;194.4;93.2;90.4
"2008";26.8;2.8;183.6;86.1;79.8
"2009";21.6;2.9;161.6;57.0;55.8
"2010";20.9;3.4;145.0;41.0;44.4
"2011";20.5;3.5;148.4;41.6;46.2
"2012";19.8;3.2;146.6;40.6;46.2
"2013";19.8;3.0;147.2;44.2;47.9
"2014";19.2;3.0;146.1;45.0;47.0
"2015";17.1;3.2;144.4;43.1;44.8
"2016";17.2;3.5;142.9;41.2;43.4
"2017";17.5;4.0;140.2;42.6;42.5
"2018";18.2;4.4;140.6;42.2;41.3
"2019";18.6;5.2;140.0;40.8;39.9
"2020";12.9;1.4;86.7;24.0;28.4
"2021";11.2;1.9;72.7;19.5;23.4
"2022";15.7;3.8;91.8;24.7;30.2
